GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
IN,Coccidioides immitis,1M0,1M0.pep.fa,1M0.dna.fa,1M0.gff3,1M0,Coccidioides immitis
IN,Coccidioides immitis,21SD,21SD.pep.fa,21SD.dna.fa,21SD.gff3,21SD,Coccidioides immitis
IN,Coccidioides immitis,3M3,3M3.pep.fa,3M3.dna.fa,3M3.gff3,3M3,Coccidioides immitis
OUT,Coccidioides posadasii,407-0_S_OLD_CPA0002,407-0_S_OLD_CPA0002.pep.fa,407-0_S_OLD_CPA0002.dna.fa,407-0_S_OLD_CPA0002.gff3,407-0_S_OLD_CPA0002,Coccidioides posadasii
OUT,Coccidioides posadasii,407-1_S_OLD_CPA0004,407-1_S_OLD_CPA0004.pep.fa,407-1_S_OLD_CPA0004.dna.fa,407-1_S_OLD_CPA0004.gff3,407-1_S_OLD_CPA0004,Coccidioides posadasii
OUT,Coccidioides posadasii,409B-0_L_OLD_CPA0011,409B-0_L_OLD_CPA0011.pep.fa,409B-0_L_OLD_CPA0011.dna.fa,409B-0_L_OLD_CPA0011.gff3,409B-0_L_OLD_CPA0011,Coccidioides posadasii
OUT,Coccidioides posadasii,409B-0_S_OLD_CPA0012,409B-0_S_OLD_CPA0012.pep.fa,409B-0_S_OLD_CPA0012.dna.fa,409B-0_S_OLD_CPA0012.gff3,409B-0_S_OLD_CPA0012,Coccidioides posadasii
OUT,Coccidioides posadasii,4545-MICE,4545-MICE.pep.fa,4545-MICE.dna.fa,4545-MICE.gff3,4545-MICE,Coccidioides posadasii
OUT,Coccidioides posadasii,485B-0_S_OLD_CPA0021,485B-0_S_OLD_CPA0021.pep.fa,485B-0_S_OLD_CPA0021.dna.fa,485B-0_S_OLD_CPA0021.gff3,485B-0_S_OLD_CPA0021,Coccidioides posadasii
OUT,Coccidioides posadasii,485B-1_L_OLD_CPA0023,485B-1_L_OLD_CPA0023.pep.fa,485B-1_L_OLD_CPA0023.dna.fa,485B-1_L_OLD_CPA0023.gff3,485B-1_L_OLD_CPA0023,Coccidioides posadasii
OUT,Coccidioides posadasii,485B-4_S_NEW_CPA0029,485B-4_S_NEW_CPA0029.pep.fa,485B-4_S_NEW_CPA0029.dna.fa,485B-4_S_NEW_CPA0029.gff3,485B-4_S_NEW_CPA0029,Coccidioides posadasii
IN,Coccidioides immitis,4M3,4M3.pep.fa,4M3.dna.fa,4M3.gff3,4M3,Coccidioides immitis
IN,Coccidioides immitis,4SD,4SD.pep.fa,4SD.dna.fa,4SD.gff3,4SD,Coccidioides immitis
OUT,Coccidioides posadasii,573-1_L_NEW_CPA0031,573-1_L_NEW_CPA0031.pep.fa,573-1_L_NEW_CPA0031.dna.fa,573-1_L_NEW_CPA0031.gff3,573-1_L_NEW_CPA0031,Coccidioides posadasii
OUT,Coccidioides posadasii,573-1_S_NEW_CPA0033,573-1_S_NEW_CPA0033.pep.fa,573-1_S_NEW_CPA0033.dna.fa,573-1_S_NEW_CPA0033.gff3,573-1_S_NEW_CPA0033,Coccidioides posadasii
OUT,Coccidioides posadasii,574-0_L_OLD_CPA0038,574-0_L_OLD_CPA0038.pep.fa,574-0_L_OLD_CPA0038.dna.fa,574-0_L_OLD_CPA0038.gff3,574-0_L_OLD_CPA0038,Coccidioides posadasii
OUT,Coccidioides posadasii,574-0_S_OLD_CPA0039,574-0_S_OLD_CPA0039.pep.fa,574-0_S_OLD_CPA0039.dna.fa,574-0_S_OLD_CPA0039.gff3,574-0_S_OLD_CPA0039,Coccidioides posadasii
OUT,Coccidioides posadasii,574-1_L_NEW_CPA0040,574-1_L_NEW_CPA0040.pep.fa,574-1_L_NEW_CPA0040.dna.fa,574-1_L_NEW_CPA0040.gff3,574-1_L_NEW_CPA0040,Coccidioides posadasii
OUT,Coccidioides posadasii,578-1_A_NEW_CPA0048,578-1_A_NEW_CPA0048.pep.fa,578-1_A_NEW_CPA0048.dna.fa,578-1_A_NEW_CPA0048.gff3,578-1_A_NEW_CPA0048,Coccidioides posadasii
OUT,Coccidioides posadasii,578-1_L_NEW_CPA0049,578-1_L_NEW_CPA0049.pep.fa,578-1_L_NEW_CPA0049.dna.fa,578-1_L_NEW_CPA0049.gff3,578-1_L_NEW_CPA0049,Coccidioides posadasii
OUT,Coccidioides posadasii,578-1_L_NEW_CPA0049_alt,578-1_L_NEW_CPA0049_alt.pep.fa,578-1_L_NEW_CPA0049_alt.dna.fa,578-1_L_NEW_CPA0049_alt.gff3,578-1_L_NEW_CPA0049_alt,Coccidioides posadasii
OUT,Coccidioides posadasii,582-1_L_NEW_CPA0064,582-1_L_NEW_CPA0064.pep.fa,582-1_L_NEW_CPA0064.dna.fa,582-1_L_NEW_CPA0064.gff3,582-1_L_NEW_CPA0064,Coccidioides posadasii
IN,Coccidioides immitis,5SD,5SD.pep.fa,5SD.dna.fa,5SD.gff3,5SD,Coccidioides immitis
OUT,Coccidioides posadasii,730332_Guatemala,730332_Guatemala.pep.fa,730332_Guatemala.dna.fa,730332_Guatemala.gff3,730332_Guatemala,Coccidioides posadasii
OUT,Coccidioides posadasii,730333_Guatemala,730333_Guatemala.pep.fa,730333_Guatemala.dna.fa,730333_Guatemala.gff3,730333_Guatemala,Coccidioides posadasii
OUT,Coccidioides posadasii,730334_Guatemala,730334_Guatemala.pep.fa,730334_Guatemala.dna.fa,730334_Guatemala.gff3,730334_Guatemala,Coccidioides posadasii
IN,Coccidioides immitis,A391,A391.pep.fa,A391.dna.fa,A391.gff3,A391,Coccidioides immitis
IN,Coccidioides immitis,A432,A432.pep.fa,A432.dna.fa,A432.gff3,A432,Coccidioides immitis
IN,Coccidioides immitis,A502-1,A502-1.pep.fa,A502-1.dna.fa,A502-1.gff3,A502-1,Coccidioides immitis
IN,Coccidioides immitis,A502-2,A502-2.pep.fa,A502-2.dna.fa,A502-2.gff3,A502-2,Coccidioides immitis
IN,Coccidioides immitis,B0727_Argentina,B0727_Argentina.pep.fa,B0727_Argentina.dna.fa,B0727_Argentina.gff3,B0727_Argentina,Coccidioides immitis
OUT,Coccidioides posadasii,B0858-Guatemala,B0858-Guatemala.pep.fa,B0858-Guatemala.dna.fa,B0858-Guatemala.gff3,B0858-Guatemala,Coccidioides posadasii
OUT,Coccidioides posadasii,B10757_Nevada,B10757_Nevada.pep.fa,B10757_Nevada.dna.fa,B10757_Nevada.gff3,B10757_Nevada,Coccidioides posadasii
OUT,Coccidioides posadasii,B10813_Texas,B10813_Texas.pep.fa,B10813_Texas.dna.fa,B10813_Texas.gff3,B10813_Texas,Coccidioides posadasii
OUT,Coccidioides posadasii,B10917,B10917.pep.fa,B10917.dna.fa,B10917.gff3,B10917,Coccidioides posadasii
OUT,Coccidioides posadasii,B10918,B10918.pep.fa,B10918.dna.fa,B10918.gff3,B10918,Coccidioides posadasii
OUT,Coccidioides posadasii,B10919,B10919.pep.fa,B10919.dna.fa,B10919.gff3,B10919,Coccidioides posadasii
IN,Coccidioides immitis,B11002,B11002.pep.fa,B11002.dna.fa,B11002.gff3,B11002,Coccidioides immitis
IN,Coccidioides immitis,B11019,B11019.pep.fa,B11019.dna.fa,B11019.gff3,B11019,Coccidioides immitis
IN,Coccidioides immitis,B11034,B11034.pep.fa,B11034.dna.fa,B11034.gff3,B11034,Coccidioides immitis
IN,Coccidioides immitis,B11035,B11035.pep.fa,B11035.dna.fa,B11035.gff3,B11035,Coccidioides immitis
OUT,Coccidioides posadasii,B11036,B11036.pep.fa,B11036.dna.fa,B11036.gff3,B11036,Coccidioides posadasii
IN,Coccidioides immitis,B11057,B11057.pep.fa,B11057.dna.fa,B11057.gff3,B11057,Coccidioides immitis
OUT,Coccidioides posadasii,B11058,B11058.pep.fa,B11058.dna.fa,B11058.gff3,B11058,Coccidioides posadasii
IN,Coccidioides immitis,B11080,B11080.pep.fa,B11080.dna.fa,B11080.gff3,B11080,Coccidioides immitis
IN,Coccidioides immitis,B11198,B11198.pep.fa,B11198.dna.fa,B11198.gff3,B11198,Coccidioides immitis
OUT,Coccidioides posadasii,B11199,B11199.pep.fa,B11199.dna.fa,B11199.gff3,B11199,Coccidioides posadasii
OUT,Coccidioides posadasii,B11232,B11232.pep.fa,B11232.dna.fa,B11232.gff3,B11232,Coccidioides posadasii
OUT,Coccidioides posadasii,B11299,B11299.pep.fa,B11299.dna.fa,B11299.gff3,B11299,Coccidioides posadasii
OUT,Coccidioides posadasii,B11300,B11300.pep.fa,B11300.dna.fa,B11300.gff3,B11300,Coccidioides posadasii
IN,Coccidioides immitis,B11343,B11343.pep.fa,B11343.dna.fa,B11343.gff3,B11343,Coccidioides immitis
OUT,Coccidioides posadasii,B11400,B11400.pep.fa,B11400.dna.fa,B11400.gff3,B11400,Coccidioides posadasii
IN,Coccidioides immitis,B11517,B11517.pep.fa,B11517.dna.fa,B11517.gff3,B11517,Coccidioides immitis
IN,Coccidioides immitis,B11518,B11518.pep.fa,B11518.dna.fa,B11518.gff3,B11518,Coccidioides immitis
IN,Coccidioides immitis,B11587,B11587.pep.fa,B11587.dna.fa,B11587.gff3,B11587,Coccidioides immitis
IN,Coccidioides immitis,B11863,B11863.pep.fa,B11863.dna.fa,B11863.gff3,B11863,Coccidioides immitis
OUT,Coccidioides posadasii,B11871,B11871.pep.fa,B11871.dna.fa,B11871.gff3,B11871,Coccidioides posadasii
OUT,Coccidioides posadasii,B11872,B11872.pep.fa,B11872.dna.fa,B11872.gff3,B11872,Coccidioides posadasii
IN,Coccidioides immitis,B11873,B11873.pep.fa,B11873.dna.fa,B11873.gff3,B11873,Coccidioides immitis
OUT,Coccidioides posadasii,B11877,B11877.pep.fa,B11877.dna.fa,B11877.gff3,B11877,Coccidioides posadasii
OUT,Coccidioides posadasii,B12202,B12202.pep.fa,B12202.dna.fa,B12202.gff3,B12202,Coccidioides posadasii
OUT,Coccidioides posadasii,B12216,B12216.pep.fa,B12216.dna.fa,B12216.gff3,B12216,Coccidioides posadasii
OUT,Coccidioides posadasii,B12218,B12218.pep.fa,B12218.dna.fa,B12218.gff3,B12218,Coccidioides posadasii
IN,Coccidioides immitis,B12219,B12219.pep.fa,B12219.dna.fa,B12219.gff3,B12219,Coccidioides immitis
IN,Coccidioides immitis,B12220,B12220.pep.fa,B12220.dna.fa,B12220.gff3,B12220,Coccidioides immitis
OUT,Coccidioides posadasii,B12226,B12226.pep.fa,B12226.dna.fa,B12226.gff3,B12226,Coccidioides posadasii
OUT,Coccidioides posadasii,B12397,B12397.pep.fa,B12397.dna.fa,B12397.gff3,B12397,Coccidioides posadasii
IN,Coccidioides immitis,B12398,B12398.pep.fa,B12398.dna.fa,B12398.gff3,B12398,Coccidioides immitis
OUT,Coccidioides posadasii,B12399,B12399.pep.fa,B12399.dna.fa,B12399.gff3,B12399,Coccidioides posadasii
OUT,Coccidioides posadasii,B12400,B12400.pep.fa,B12400.dna.fa,B12400.gff3,B12400,Coccidioides posadasii
OUT,Coccidioides posadasii,B12402,B12402.pep.fa,B12402.dna.fa,B12402.gff3,B12402,Coccidioides posadasii
