label	family	n_anchors	n_full_window	n_with_pm2	modal_pm2_order_frac	n_distinct_pm2_orders	mean_pairwise_jaccard_pm10
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	11	0	9	0.667	3	0.341
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	354	181	309	0.379	33	0.472
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	343	188	229	0.367	29	0.573
F04	GT-126|C8C79ED_001931-T1	231	92	127	0.488	15	0.32
F05	5SD|CCCC1E1_001005-T1	191	18	186	0.833	8	0.598
F06	5SD|CCCC1E1_003562-T1	167	86	138	0.993	2	0.475
F07	5SD|CCCC1E1_000191-T1	165	106	160	0.569	9	0.634
F08	GT-146|CDEB87D_007880-T1	135	38	130	0.631	8	0.398
F09	5SD|CCCC1E1_000093-T1	114	65	86	0.302	16	0.483
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	109	0	0		0	0.526
F11	TX11|CEC36E2_008626-T1	102	2	44	0.682	10	0.609
F12	GT-126|C8C79ED_008251-T1	57	5	6	0.333	4	0.707
F13	CA2|CD8B963_008506-T1	37	0	0		0	0.688
F14	730332_Guatemala|C45F23D_004938-T1	36	0	6	0.333	5	0.218
F15	B3314|CBC6125_000776-T1	18	14	15	0.333	5	0.584
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	17	3	4	0.5	3	0.329
F17	B3353|C210CF2_008619-T1	14	0	0		0	0.052
F18	B15142|CE5AC85_006064-T1	13	3	12	0.75	3	0.554
F19	B15146|CF83403_004486-T1	12	5	11	0.909	2	0.467
F20	B14298|C71D630_004309-T1	3	3	3	0.667	2	0.646
F21	B3417|C574D2D_005626-T1	3	0	0		0	0.433
F22	4545-MICE|CB4077B_003725-T1	2	2	2	0.5	2	0.739
F23	B3489|CCD713F_001533-T1	2	2	2	0.5	2	0.905
F24	GT-111|C5A2EA4_008657-T1	2	0	0		0	1.0
F25	UTAH_23742X195|C3F3A6B_006523-T1	2	2	2	0.5	2	0.667
F26	4M3|CB16A6A_002786-T1	1	0	0		0	
F27	B11057|CCF9097_002456-T1	1	0	1	1.0	1	
F28	B15146|CF83403_001699-T1	1	1	1	1.0	1	
F29	B3348|C8D1221_008493-T1	1	0	0		0	
F30	CA29|CCF2728_004905-T1	1	0	1	1.0	1	
F31	COCSP-8945|C2B0656_003994-T1	1	0	1	1.0	1	
F32	GT-118|C574A51_008475-T1	1	0	0		0	
F33	RS|C3CED3A_008636-T1	1	0	0		0	
F34	SDVA14|C979C11_006396-T1	1	0	1	1.0	1	
F35	SDVA14|C979C11_007553-T1	1	0	1	1.0	1	
F36	SJV_2|CEBEDBD_008473-T1	1	0	1	1.0	1	
F37	S_675|CD889B5_008191-T1	1	0	0		0	
F38	UTAH_23742X170|C9AA314_008204-T1	1	0	0		0	
F39	M199|C82F880_004216-T1	7	3	6	0.333	5	0.147
F40	730332_Guatemala|C45F23D_000045-T1	3	0	1	1.0	1	0.345
F41	B3313|CDF0487_002293-T1	3	2	3	1.0	1	0.468
F42	730333_Guatemala|C537722_008849-T1	2	0	0		0	
